File ID,Temperature (K),G,Pressure (bar),theta
18,77,8.73995928,5,7.77E-25
18,100,9.12274038,1,1.15E-20
18,100,9.12274038,2,2.30E-20
18,100,9.12274038,3,3.45E-20
18,100,9.12274038,4,4.60E-20
18,100,9.12274038,5,5.75E-20
18,273,11.92520004,1,2.83E-10
18,273,11.92520004,2,5.67E-10
18,273,11.92520004,3,8.50E-10
18,273,11.92520004,4,1.13E-09
18,273,11.92520004,5,1.42E-09
18,298.15,12.31049118,1,9.45E-10
18,298.15,12.31049118,2,1.89E-09
18,298.15,12.31049118,3,2.83E-09
18,298.15,12.31049118,4,3.78E-09
18,298.15,12.31049118,5,4.72E-09
18,400,13.82279028,1,2.80E-08
18,400,13.82279028,2,5.60E-08
18,400,13.82279028,3,8.40E-08
18,400,13.82279028,4,1.12E-07
18,400,13.82279028,5,1.40E-07
18,500,15.24096288,1,2.18E-07
18,500,15.24096288,2,4.35E-07
18,500,15.24096288,3,6.53E-07
18,500,15.24096288,4,8.70E-07
18,500,15.24096288,5,1.09E-06
18,600,16.60328709,1,8.95E-07
18,600,16.60328709,2,1.79E-06
18,600,16.60328709,3,2.68E-06
18,600,16.60328709,4,3.58E-06
18,600,16.60328709,5,4.47E-06
18,700,17.91917556,1,2.54E-06
18,700,17.91917556,2,5.08E-06
18,700,17.91917556,3,7.62E-06
18,700,17.91917556,4,1.02E-05
18,700,17.91917556,5,1.27E-05
19,77,0.00564759,1,0.490772899
19,77,0.00564759,2,0.658414034
19,77,0.00564759,3,0.743015225
19,77,0.00564759,4,0.794028536
19,77,0.00564759,5,0.828143314
19,100,0.44678712,1,0.09547451
19,100,0.44678712,2,0.174307132
19,100,0.44678712,3,0.240500244
19,100,0.44678712,4,0.296868047
19,100,0.44678712,5,0.345447013
19,273,3.96084312,1,0.000673901
19,273,3.96084312,2,0.001346895
19,273,3.96084312,3,0.002018983
19,273,3.96084312,4,0.002690166
19,273,3.96084312,5,0.003360448
19,298.15,4.46912622,1,0.000529104
19,298.15,4.46912622,2,0.001057649
19,298.15,4.46912622,3,0.001585634
19,298.15,4.46912622,4,0.002113062
19,298.15,4.46912622,5,0.002639933
19,400,6.49347348,1,0.000282953
19,400,6.49347348,2,0.000565746
19,400,6.49347348,3,0.000848379
19,400,6.49347348,4,0.001130852
19,400,6.49347348,5,0.001413166
19,500,8.42934183,1,0.000206606
19,500,8.42934183,2,0.000413126
19,500,8.42934183,3,0.000619562
19,500,8.42934183,4,0.000825912
19,500,8.42934183,5,0.001032176
19,600,10.31689191,1,0.000174457
19,600,10.31689191,2,0.000348853
19,600,10.31689191,3,0.000523188
19,600,10.31689191,4,0.000697462
19,600,10.31689191,5,0.000871676
19,700,12.16177131,1,0.000159419
19,700,12.16177131,2,0.000318787
19,700,12.16177131,3,0.000478105
19,700,12.16177131,4,0.000637372
