File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g)
21,298.15,4.16478387,0.2,0.000176942,0.3230037105260096
21,298.15,4.16478387,0.3,0.00026539,0.48446357979732163
21,298.15,4.16478387,0.4,0.000353822,0.6458942414222387
21,298.15,4.16478387,0.5,0.000442238,0.8072956954007608
21,298.15,4.16478387,0.6,0.000530639,0.9686697672107877
21,298.15,4.16478387,0.7,0.000619024,1.1300146313744197
21,298.15,4.16478387,0.8,0.000707394,1.2913321133695561
21,298.15,4.16478387,0.9,0.000795747,1.4526185622403982
21,298.15,4.16478387,1.0,0.000884086,1.6138794544206445
21,298.15,4.16478387,1.1,0.000972408,1.7751093134765965
22,298.15,57.95870613,0.1,3.25e-44,5.925047785595185e-41
22,298.15,57.95870613,0.2,6.5e-44,1.185009557119037e-40
22,298.15,57.95870613,0.3,9.74e-44,1.7756912440522186e-40
22,298.15,57.95870613,0.4,1.3e-43,2.370019114238074e-40
22,298.15,57.95870613,0.5,1.6200000000000001e-43,2.9534084346659075e-40
22,298.15,57.95870613,0.6,1.95e-43,3.5550286713571106e-40
22,298.15,57.95870613,0.7,2.2700000000000003e-43,4.138417991784945e-40
22,298.15,57.95870613,0.8,2.6e-43,4.740038228476148e-40
22,298.15,57.95870613,0.9,2.9200000000000003e-43,5.323427548903982e-40
22,298.15,57.95870613,1.0,3.2500000000000004e-43,5.925047785595185e-40
22,298.15,57.95870613,1.1,3.5700000000000003e-43,6.508437106023019e-40
23,298.15,-44.02861164,0.1,1.0,1830.125130131254
23,298.15,-44.02861164,0.2,1.0,1830.125130131254
23,298.15,-44.02861164,0.3,1.0,1830.125130131254
23,298.15,-44.02861164,0.4,1.0,1830.125130131254
23,298.15,-44.02861164,0.5,1.0,1830.125130131254
23,298.15,-44.02861164,0.6,1.0,1830.125130131254
23,298.15,-44.02861164,0.7,1.0,1830.125130131254
23,298.15,-44.02861164,0.8,1.0,1830.125130131254
23,298.15,-44.02861164,0.9,1.0,1830.125130131254
23,298.15,-44.02861164,1.0,1.0,1830.125130131254
23,298.15,-44.02861164,1.1,1.0,1830.125130131254
24,298.15,-69.97301259,0.1,1.0,1837.9075660335475
24,298.15,-69.97301259,0.2,1.0,1837.9075660335475
24,298.15,-69.97301259,0.3,1.0,1837.9075660335475
24,298.15,-69.97301259,0.4,1.0,1837.9075660335475
24,298.15,-69.97301259,0.5,1.0,1837.9075660335475
24,298.15,-69.97301259,0.6,1.0,1837.9075660335475
24,298.15,-69.97301259,0.7,1.0,1837.9075660335475
