File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g),wt%
20,77,-38.89432482,0.5,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.6,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.7,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.8,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.9,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,1.0,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,1.1,1.0,1825.0680993053656,14.100677301494708
21,77,0.38529114,0.1,0.007995535,14.59567243865548,0.13110688675805401
21,77,0.38529114,0.2,0.015864228,28.959797609559157,0.25979866979672034
21,77,0.38529114,0.3,0.023609072,43.09783916806477,0.3861414465322111
21,77,0.38529114,0.4,0.031232969,57.015094651037245,0.5101989637084147
21,77,0.38529114,0.5,0.038738729,70.71669365137464,0.6320326491263338
21,77,0.38529114,0.6,0.046129079,84.20761424730946,0.7517018032061761
21,77,0.38529114,0.7,0.053406659,97.4926757004968,0.8692635766907884
21,77,0.38529114,0.8,0.060574031,110.5765548853157,0.9847731566741492
21,77,0.38529114,0.9,0.067633679,123.463786288869,1.0982838043012428
21,77,0.38529114,1.0,0.074588014,136.1587711383727,1.209846970973505
21,77,0.38529114,1.1,0.081439375,148.66577922663438,1.3195123479949673
22,77,54.06939915,0.1,3.32e-155,6.0526641994387725e-152,5.4439952824433687e-154
22,77,54.06939915,0.2,6.65e-155,1.2123559315140918e-151,1.0904388141038676e-153
22,77,54.06939915,0.3,9.97e-155,1.8176223514579688e-151,1.6348383423482045e-153
22,77,54.06939915,0.4,1.33e-154,2.424711863028184e-151,2.180877628207735e-153
22,77,54.06939915,0.5,1.66e-154,3.0263320997193867e-151,2.7219976412216844e-153
22,77,54.06939915,0.6,1.99e-154,3.6279523364105904e-151,3.263117654235633e-153
22,77,54.06939915,0.7,2.33e-154,4.247803489365163e-151,3.820635243401521e-153
22,77,54.06939915,0.8,2.66e-154,4.849423726056367e-151,4.36175525641547e-153
22,77,54.06939915,0.9,2.9900000000000004e-154,5.45104396274757e-151,4.902875269429421e-153
22,77,54.06939915,1.0,3.32e-154,6.052664199438773e-151,5.443995282443369e-153
22,77,54.06939915,1.1,3.66e-154,6.672515352393348e-151,6.001512871609257e-153
23,77,-45.94879224,0.1,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.2,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.3,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.4,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.5,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.6,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.7,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.8,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,0.9,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,1.0,1.0,1830.125130131254,14.134226070495856
23,77,-45.94879224,1.1,1.0,1830.125130131254,14.134226070495856
24,77,-72.13478454,0.1,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.2,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.3,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.4,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.5,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.6,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.7,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.8,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,0.9,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,1.0,1.0,1837.9075660335477,14.185804241530759
24,77,-72.13478454,1.1,1.0,1837.9075660335477,14.185804241530759
25,77,-60.0715323,0.1,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.2,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.3,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.4,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.5,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.6,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.7,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.8,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,0.9,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,1.0,1.0,1841.9690183670955,14.212696957947054
25,77,-60.0715323,1.1,1.0,1841.9690183670955,14.212696957947054
